species,identifier,higher_taxon,common_name,highest_common_name
Ceratomia undulosa,UDCC_TCN_0062119_2_1485445865_lg,Bombycoidea,Sphynx/Silk moths,moths
Chilo suppressalis,RMNH_INS_19356_1%2B1265302838,Pyraloidea,Snout moths,moths
Chlorosea margaretaria,ASUHIC0117603_habitus_dorsal_1565893133_lg,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,CSU_ENT1061003_1-3_1564404412_lg,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,CSU_ENT1150182_1-2_1604584638_lg,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,IMG_018712,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,IMG_018713,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,IMG_018714,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,IMG_018715,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,IMG_018716,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,IMG_018717,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,IMG_018718,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,IMG_018719,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,IMG_018720,Geometroidea,Geometrid moths,moths
Chlorosea margaretaria,IMG_018721,Geometroidea,Geometrid moths,moths
Cibyra sp,BC-CGCM_13.742%2B1220308630,Hepialoidea,Ghost moths,moths
Cigaritis takanonis,5ea52a32-7a42-4538-8663-22086034d4df,Papilionoidea,Papilionoid butterflies,butterflies
Cirrhochrista sp,IOZ_LEP_M_2838_S%2B1326819406,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,14552972919_20e8706544,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,15078174014_ea9f252fc1,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,15544522487_1d003395e1,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,24244696925_9d0ebd671a,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,24246718095_6225821eeb,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,27111342009_e311239ffa,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,27111342979_b8d3a80f3b,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,27845228119_9f74e8393e,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,28869799143_5ed941a2b6,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,31754857508_45cd8e8a5e,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,35434741566_f424e961a9,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,37787340601_b191218f55,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,38104151664_18fd9432b6,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,38172375034_3c5dd9ca2a,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,38243330012_5181656a7a,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,38789386262_4bc75ccbb5,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,44202616394_570141f116,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,45188168522_c4862e1cf0,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,46795168792_9a24502a1f,Pyraloidea,Snout moths,moths
Cnaphalocrocis medinalis,46945142391_9d82a2ea38,Pyraloidea,Snout moths,moths
Colias croceus,576325?rendering=original,Papilionoidea,Papilionoid butterflies,butterflies
Colias croceus,Colias croceus_Preview001,Papilionoidea,Papilionoid butterflies,butterflies
Colias croceus,F.413116_Colias_crocea_f,Papilionoidea,Papilionoid butterflies,butterflies
Colias croceus,NMR996800017494A,Papilionoidea,Papilionoid butterflies,butterflies
Colias croceus,NMR996800038223A,Papilionoidea,Papilionoid butterflies,butterflies
